n;Direction;DN [mm];Dext [mm];Location;L [m];Longitude;Latitude;mdot take-off [kg/s];Insulation
1;Supply;300;324;channel;54.84555776;15.10484303;46.36368863;-0.4103;1
2;Supply;300;324;channel;41.56018527;15.10451413;46.36343328;-0.4103;1
3;Supply;300;324;channel;1.578670327;15.10438709;46.36326029;-0.4103;1
4;Supply;300;324;channel;16.20314167;15.10433445;46.36318909;-0.4103;1
5;Supply;300;324;channel;61.68441739;15.10459839;46.36298164;-0.4103;1
6;Supply;300;324;channel;71.34587131;15.10525761;46.36271499;-0.4103;1
7;Supply;300;324;channel;74.47283039;15.10539145;46.36229844;-0.4103;1
8;Supply;300;324;channel;83.0298612;15.10501648;46.36173233;-0.4103;1
9;Supply;300;324;channel;92.43032778;15.10530224;46.36125473;-0.4103;1
10;Supply;300;324;channel;87.82613421;15.10622331;46.36092634;-0.4103;1
11;Supply;300;324;channel;34.97689657;15.10669762;46.36061239;-0.4103;1
12;Supply;300;324;channel;53.63748767;15.10704403;46.36045939;-0.4103;1
13;Supply;300;324;channel;11.65695072;15.10738975;46.36041309;-0.4103;1
14;Supply;300;324;surface;7.274938003;15.10745892;46.36036885;-0.4103;1
15;Supply;300;324;surface;164.1589679;15.10779799;46.35985241;-0.4103;1
16;Supply;300;324;channel;50.97644464;15.10810003;46.35907671;-20;1
17;Supply;300;324;channel;54.96254822;15.10853264;46.35885097;-0.4103;1
18;Supply;300;324;channel;130.3677352;15.10958905;46.35861703;-0.4103;1
19;Supply;300;324;channel;173.8120792;15.11113807;46.35799609;-0.4103;1
20;Supply;300;324;channel;30.91725905;15.11188792;46.35744734;-0.4103;1
21;Supply;300;324;channel;104.8560829;15.11236945;46.35710809;-0.4103;1
22;Supply;300;324;channel;117.1848029;15.1134456;46.35661056;-0.4103;1
23;Supply;300;324;channel;98.98492539;15.11450488;46.35619996;-0.4103;1
24;Supply;250;273;channel;0.97416631;15.11503504;46.35607302;-0.4103;1
25;Supply;250;273;channel;0.97416668;15.11504208;46.3560803;-0.4103;1
